Address,Offset,Description,Type
2564,64,Statistical.Counter Channel 6 Maximum Gust,FloatingPoint32Bit
2566,66,Statistical.Counter Channel 7 Average or Total,FloatingPoint32Bit
2568,68,Statistical.Counter Channel 7 Standard Deviation,FloatingPoint32Bit
2570,70,Statistical.Counter Channel 7 Max,FloatingPoint32Bit
2572,72,Statistical.Counter Channel 7 Min,FloatingPoint32Bit
2574,74,Statistical.Counter Channel 7 Maximum Gust,FloatingPoint32Bit
2576,76,Statistical.Counter Channel 8 Average or Total,FloatingPoint32Bit
2578,78,Statistical.Counter Channel 8 Standard Deviation,FloatingPoint32Bit
2580,80,Statistical.Counter Channel 8 Max,FloatingPoint32Bit
2582,82,Statistical.Counter Channel 8 Min,FloatingPoint32Bit
2584,84,Statistical.Counter Channel 8 Maximum Gust,FloatingPoint32Bit
2586,86,Statistical.Counter Channel 9 Average or Total,FloatingPoint32Bit
2588,88,Statistical.Counter Channel 9 Standard Deviation,FloatingPoint32Bit
2590,90,Statistical.Counter Channel 9 Max,FloatingPoint32Bit
2592,92,Statistical.Counter Channel 9 Min,FloatingPoint32Bit
2594,94,Statistical.Counter Channel 9 Maximum Gust,FloatingPoint32Bit
2596,96,Statistical.Counter Channel 10 Average or Total,FloatingPoint32Bit
2598,98,Statistical.Counter Channel 10 Standard Deviation,FloatingPoint32Bit
2600,100,Statistical.Counter Channel 10 Max,FloatingPoint32Bit
2602,102,Statistical.Counter Channel 10 Min,FloatingPoint32Bit
2604,104,Statistical.Counter Channel 10 Maximum Gust,FloatingPoint32Bit
2606,106,Statistical.Counter Channel 11 Average or Total,FloatingPoint32Bit
2608,108,Statistical.Counter Channel 11 Standard Deviation,FloatingPoint32Bit
2610,110,Statistical.Counter Channel 11 Max,FloatingPoint32Bit
2612,112,Statistical.Counter Channel 11 Min,FloatingPoint32Bit
2614,114,Statistical.Counter Channel 11 Maximum Gust,FloatingPoint32Bit
2616,116,Statistical.Counter Channel 12 Average or Total,FloatingPoint32Bit
2618,118,Statistical.Counter Channel 12 Standard Deviation,FloatingPoint32Bit
2620,120,Statistical.Counter Channel 12 Max,FloatingPoint32Bit
2622,122,Statistical.Counter Channel 12 Min,FloatingPoint32Bit
2624,124,Statistical.Counter Channel 12 Maximum Gust,FloatingPoint32Bit
2626,126,Statistical.Analog Channel 13 Average,FloatingPoint32Bit
2628,128,Statistical.Analog Channel 13 Standard Deviation,FloatingPoint32Bit
2630,130,Statistical.Analog Channel 13 Max,FloatingPoint32Bit
2632,132,Statistical.Analog Channel 13 Min,FloatingPoint32Bit
2634,134,Statistical.Analog Channel 14 Average,FloatingPoint32Bit
2636,136,Statistical.Analog Channel 14 Standard Deviation,FloatingPoint32Bit
2638,138,Statistical.Analog Channel 14 Max,FloatingPoint32Bit
2640,140,Statistical.Analog Channel 14 Min,FloatingPoint32Bit
2642,142,Statistical.Analog Channel 15 Average,FloatingPoint32Bit
2644,144,Statistical.Analog Channel 15 Standard Deviation,FloatingPoint32Bit
2646,146,Statistical.Analog Channel 15 Max,FloatingPoint32Bit
2648,148,Statistical.Analog Channel 15 Min,FloatingPoint32Bit
2650,150,Statistical.Analog Channel 16 Average,FloatingPoint32Bit
2652,152,Statistical.Analog Channel 16 Standard Deviation,FloatingPoint32Bit
2654,154,Statistical.Analog Channel 16 Max,FloatingPoint32Bit
2656,156,Statistical.Analog Channel 16 Min,FloatingPoint32Bit
2658,158,Statistical.Analog Channel 17 Average,FloatingPoint32Bit
2660,160,Statistical.Analog Channel 17 Standard Deviation,FloatingPoint32Bit
2662,162,Statistical.Analog Channel 17 Max,FloatingPoint32Bit
2664,164,Statistical.Analog Channel 17 Min,FloatingPoint32Bit
2666,166,Statistical.Analog Channel 18 Average,FloatingPoint32Bit
2668,168,Statistical.Analog Channel 18 Standard Deviation,FloatingPoint32Bit
2670,170,Statistical.Analog Channel 18 Max,FloatingPoint32Bit
2672,172,Statistical.Analog Channel 18 Min,FloatingPoint32Bit
2674,174,Statistical.Analog Channel 19 Average,FloatingPoint32Bit
2676,176,Statistical.Analog Channel 19 Standard Deviation,FloatingPoint32Bit
2678,178,Statistical.Analog Channel 19 Max,FloatingPoint32Bit
2680,180,Statistical.Analog Channel 19 Min,FloatingPoint32Bit
2682,182,Statistical.Analog Channel 20 Average,FloatingPoint32Bit
2684,184,Statistical.Analog Channel 20 Standard Deviation,FloatingPoint32Bit
2686,186,Statistical.Analog Channel 20 Max,FloatingPoint32Bit
2688,188,Statistical.Analog Channel 20 Min,FloatingPoint32Bit
2690,190,Statistical.Analog Channel 21 Average,FloatingPoint32Bit
2692,192,Statistical.Analog Channel 21 Standard Deviation,FloatingPoint32Bit
2694,194,Statistical.Analog Channel 21 Max,FloatingPoint32Bit
2696,196,Statistical.Analog Channel 21 Min,FloatingPoint32Bit
2698,198,Statistical.Analog Channel 22 Average,FloatingPoint32Bit
2700,200,Statistical.Analog Channel 22 Standard Deviation,FloatingPoint32Bit
2702,202,Statistical.Analog Channel 22 Max,FloatingPoint32Bit
2704,204,Statistical.Analog Channel 22 Min,FloatingPoint32Bit
2706,206,Statistical.Analog Channel 23 Average,FloatingPoint32Bit
2708,208,Statistical.Analog Channel 23 Standard Deviation,FloatingPoint32Bit
2710,210,Statistical.Analog Channel 23 Max,FloatingPoint32Bit
2712,212,Statistical.Analog Channel 23 Min,FloatingPoint32Bit
2714,214,Statistical.Analog Channel 24 Average,FloatingPoint32Bit
2716,216,Statistical.Analog Channel 24 Standard Deviation,FloatingPoint32Bit
2718,218,Statistical.Analog Channel 24 Max,FloatingPoint32Bit
2720,220,Statistical.Analog Channel 24 Min,FloatingPoint32Bit
2722,222,Statistical.Analog Channel 25 Average,FloatingPoint32Bit
2724,224,Statistical.Analog Channel 25 Standard Deviation,FloatingPoint32Bit
2726,226,Statistical.Analog Channel 25 Max,FloatingPoint32Bit
2728,228,Statistical.Analog Channel 25 Min,FloatingPoint32Bit
2730,230,Statistical.Analog Channel 26 Average,FloatingPoint32Bit
2732,232,Statistical.Analog Channel 26 Standard Deviation,FloatingPoint32Bit
2734,234,Statistical.Analog Channel 26 Max,FloatingPoint32Bit
2736,236,Statistical.Analog Channel 26 Min,FloatingPoint32Bit
2738,238,Statistical.Serial Channel 27 Average,FloatingPoint32Bit
2740,240,Statistical.Serial Channel 27 Standard Deviation,FloatingPoint32Bit
2742,242,Statistical.Serial Channel 27 Max,FloatingPoint32Bit
2744,244,Statistical.Serial Channel 27 Min,FloatingPoint32Bit
2746,246,Statistical.Serial Channel 28 Average,FloatingPoint32Bit
2748,248,Statistical.Serial Channel 28 Standard Deviation,FloatingPoint32Bit
2750,250,Statistical.Serial Channel 28 Max,FloatingPoint32Bit
2752,252,Statistical.Serial Channel 28 Min,FloatingPoint32Bit
2754,254,Statistical.Serial Channel 29 Average,FloatingPoint32Bit
2756,256,Statistical.Serial Channel 29 Standard Deviation,FloatingPoint32Bit
2758,258,Statistical.Serial Channel 29 Max,FloatingPoint32Bit
2760,260,Statistical.Serial Channel 29 Min,FloatingPoint32Bit
2762,262,Statistical.Serial Channel 30 Average,FloatingPoint32Bit
2764,264,Statistical.Serial Channel 30 Standard Deviation,FloatingPoint32Bit
2766,266,Statistical.Serial Channel 30 Max,FloatingPoint32Bit
2768,268,Statistical.Serial Channel 30 Min,FloatingPoint32Bit
